eng,deu,eng_google,deu_google
"We also have to accept that we are mortal and that European citizens, with or without a European policy on public health, cannot be absolutely sure of surviving past 68.","Überdies müssen wir akzeptieren, daß wir sterblich sind und den europäischen Bürgern - mit oder ohne europäische öffentliche Gesundheitspolitik - nicht gewährleisten können, daß sie mit 68 Jahren auf jeden Fall noch am Leben sein werden.","Furthermore, we must accept that we are mortal and that we cannot guarantee European citizens – with or without European public health policy – that they will definitely still be alive at the age of 68.","Wir müssen auch akzeptieren, dass wir sterblich sind und dass die europäischen Bürger, ob mit oder ohne eine europäische Gesundheitspolitik, nicht mit absoluter Sicherheit älter als 68 Jahre werden können."
Farming: 6 % (especially sheep and cattle breeding ; cultivating of various grains and amongst others tobacco and cotton).,Argentinien ist eine föderalistische Präsidialdemokratie mit neuer Verfassung von 1994. Das Staatsoberhaupt ist Chef der Exekutive und wird für 4 Jahre gewählt (seit 2003 Nestór Kirchner).,Argentina is a federal presidential democracy with a new constitution from 1994. The head of state is the head of the executive branch and is elected for a term of four years (Nestór Kirchner since 2003).,Landwirtschaft: 6 % (vor allem Schaf- und Rinderzucht; Anbau verschiedener Getreidesorten und unter anderem Tabak und Baumwolle).
"Well, you're not alone. Here, DW-WORLD offers an easy guide to some of the technical terms which may feature in the coming action.","Held des Teams war der damals erst 17-jährige Edson Arantes do Nascimento, genannt ""Pelé"" - der Beginn einer großen Karriere.","The hero of the team was Edson Arantes do Nascimento, nicknamed &quot;Pelé,&quot; then only 17 years old – the beginning of a great career.","Sie sind nicht allein. DW-WORLD bietet hier einen einfachen Leitfaden zu einigen Fachbegriffen, die in der kommenden Aktion eine Rolle spielen könnten."
"Taste Modern Spanish cuisine ""Pinchos"" in the Basque Country Spain's excellent wines Cheese… with pleasure!",Genießen Sie! Die neue spanische Küche Die Pinchos des Baskenlandes Die exzellenten Weine Spaniens Käse… jederzeit gern!,"Enjoy! The new Spanish cuisine, the pinchos of the Basque Country, the excellent wines of Spain, and cheese… always welcome!","Probieren Sie die moderne spanische Küche „Pinchos“ im Baskenland, Spaniens hervorragende Weine und Käse … mit Vergnügen!"
The script was last updated in 2001!,Die letzte Aktualisierung des Scripts erfolgte 2001!,The script was last updated in 2001!,Das Skript wurde zuletzt im Jahr 2001 aktualisiert!
This is particularly true for traditional medicine and agricultural knowledge.,Dies gilt vor allem für traditionelles medizinisches und landwirtschaftliches Wissen.,This applies especially to traditional medical and agricultural knowledge.,Dies gilt insbesondere für die traditionelle Medizin und das landwirtschaftliche Wissen.
"(EL) Mr President, the reason I feel the need to speak at today's sitting is because the question of Cyprus and the immigration problem we face has not been raised.","(EL) Herr Präsident, der Grund, weshalb ich es für notwendig halte, mich bei der heutigen Sitzung zu Wort zu melden, ist, dass die Zypern-Frage und die Einwanderungsprobleme, denen wir uns gegenübersehen, nicht angesprochen wurden.","(EL) Mr President, the reason why I feel it necessary to speak at today&#39;s sitting is that the Cyprus issue and the immigration problems we are facing have not been addressed.","(EL) Herr Präsident! Der Grund, warum ich es für nötig halte, in der heutigen Sitzung das Wort zu ergreifen, liegt darin, dass die Zypernfrage und das Einwanderungsproblem, mit dem wir konfrontiert sind, nicht angesprochen wurden."
"However, we are encountering difficulties, and mainly lack of funding, as Mr Ribero very clearly emphasized.","Wir stehen jedoch vor Schwierigkeiten, hauptsächlich fehlt es an Mitteln zur Finanzierung, wie Herr Ribeiro nachdrücklich ausführte.","However, we are facing difficulties, mainly a lack of financing, as Mr Ribeiro emphasized.","Wir haben jedoch mit Schwierigkeiten zu kämpfen, vor allem mit einem Mangel an Finanzmitteln, wie Herr Ribero sehr deutlich betonte."
- and out heroes will work from a tiny lift swinging high above the roofs of the city!,"Der Erstplatzierte darf sich zudem darauf freuen, mit den Künstlern eine Liftfahrt zu machen, um das Gesamtkunstwerk aus nächster Nähe zu betrachten.",The first-place winner can also look forward to taking a lift ride with the artists to view the entire work of art up close.,"– und unsere Helden arbeiten von einem winzigen Aufzug aus, der hoch über den Dächern der Stadt schwebt!"
"Mr President, ladies and gentlemen, on behalf of the Group of European Socialists I should like to express our feelings, our sympathy, and offer our condolences to the suffering families of the young victims of the atrocities we have been discussing today.","Herr Präsident, liebe Kollegen, im Namen der Fraktion der sozialdemokratischen Partei Europas möchte ich an dieser Stelle unserer tiefen Bewegung und unserer Solidarität Ausdruck verleihen und den Familien der jungen Opfer unser Beileid aussprechen, die von den heute hier von uns aufgegriffenen scheußlichen Taten auf eine harte Probe gestellt worden sind.","Mr President, ladies and gentlemen, on behalf of the Group of the Party of European Socialists, I would like to take this opportunity to express our deep emotion and solidarity and to offer our condolences to the families of the young victims who have been sorely tested by the appalling acts we have raised here today.","Herr Präsident, meine Damen und Herren, im Namen der Fraktion der Sozialdemokraten Europas möchte ich den leidenden Familien der jungen Opfer der Gräueltaten, über die wir heute gesprochen haben, unsere Gefühle und unser Mitgefühl ausdrücken und ihnen unser Beileid aussprechen."
